丁, uni
智, ⿱<知>⿰矢口日
晾, ⿰日<京>⿳亠口小
暂, ⿱<斩>⿰车斤日
暇, ⿰日叚
暑, ⿱日<者>⿸耂日
暖, ⿰日<爰>⿳爫一<友>⿸𠂇又
暗, ⿰日<音>⿱立日
暮, ⿱<莫>⿱艹<旲>⿱日大日
暴, ⿱日<㳟>⿱<共>⿱龷八氺
曙, ⿰日<署>⿱罒<者>⿸耂日
更, ⿱一<CDP-89E7>⿻日<乂>⿻丿乀
曹, ⿱<CDP-8D61>⿻一曲日
曼, ⿳日罒又
曾, ⿱八<CDP-8B63>⿱<CDP-8B62>⿴囗⺌日
替, ⿱<㚘>⿰夫夫日
最, ⿱日<取>⿸耳又
有, ⿸𠂇月
朋, ⿰月月
服, ⿰月<𠬝>⿸卩又
朗, ⿰<CDP-8C42>⿱丶<CDP-8B7C>;月
望, ⿱⿰<亡>⿱亠𠃊月<王>⿱一土
朝, ⿰<𠦝>⿱十<早>⿱日十月
期, ⿰其月
朦, ⿰月<蒙>⿱艹<冡>⿳冖一<豕>⿱一𧰨
术, ⿺木丶
朴, ⿰木卜
机, ⿰木几
朽, ⿰木<丂>⿱一㇉
杀, ⿱㐅朩
杂, ⿱九朩
权, ⿰木又
杆, ⿰木干
杈, ⿰木<叉>⿴又丶
杉, ⿰木彡
李, ⿱木子
杏, ⿱木口
材, ⿰木才
村, ⿰木寸
杖, ⿰木丈
杜, ⿰木土
杠, ⿰木工
条, ⿱夂木
杨, ⿰木𠃓
杭, ⿰木<亢>⿱亠几
杯, ⿰木<不>⿱一<CDP-8665>;
杰, ⿱木灬
松, ⿰木<公>⿱八厶
板, ⿰木反
极, ⿰木及
构, ⿰木<勾>⿹勹厶
枉, ⿰木<王>⿱一土
析, ⿰木斤
枕, ⿰木冘
林, ⿰木木
枚, ⿰木攵
果, ⿻日木
枝, ⿰木<支>⿱十又
枢, ⿰木<区>⿷匚㐅
枣, ⿱朿<⺀>⿱丶丶
枪, ⿰木<仓>⿱𠆢㔾
枫, ⿰木风
枯, ⿰木<古>⿱十口
架, ⿱<加>⿰力口木
枷, ⿰木<加>⿰力口
柄, ⿰木<丙>⿱一<内>⿻冂人
柏, ⿰木白
某, ⿱甘木
柑, ⿰木甘
柒, ⿱㲺木
染, ⿱<氿>⿰氵九木
柔, ⿱矛木
柜, ⿰木巨
柠, ⿰木<宁>⿱宀丁
查, ⿱木<旦>⿱日一
柱, ⿰木主
柳, ⿰木<卯>⿰𠂎卩
柴, ⿱此木
柿, ⿰木<市>⿱亠巾
栅, ⿰木册
标, ⿰木示
栈, ⿰木<戋>⿻戈一
栋, ⿰木东
栏, ⿰木<兰>⿱丷<三>⿳一一一
树, ⿰木<对>⿰又寸
栓, ⿰木<全>⿱𠆢<王>⿱一土
栖, ⿰木<西>⿱一<𠁤>⿻儿口
栗, ⿱西木
校, ⿰木交
株, ⿰木朱
样, ⿰木羊
核, ⿰木亥
根, ⿰木艮
格, ⿰木<各>⿱夂口
栽, ⿹𢦏木
桂, ⿰木<圭>⿱土土
桃, ⿰木兆
桅, ⿰木<危>⿸<厃>⿱𠂊厂㔾
框, ⿰木<匡>⿷匚<王>⿱一土
案, ⿱<安>⿱宀女木
桌, ⿱⺊<杲>⿱日木
桐, ⿰木<同>⿵<𠔼>⿵冂一口
桑, ⿱<叒>⿱又<双>⿰又又木
档, ⿰木<当>⿱⺌彐
桥, ⿰木<乔>⿱夭<CDP-8BF5>⿰丿丨
桦, ⿰木<华>⿱<化>⿰亻匕十
桨, ⿱⿰丬<夕>⿴𠂊丶木
桩, ⿰木<庄>⿸广土
桶, ⿰木<甬>⿱龴用
梁, ⿱<CDP-8DBC>⿰氵<刅>⿰刃丶木
梅, ⿰木<毎>⿱𠂉毋
梆, ⿰木<邦>⿰丰阝
梗, ⿰木更
梢, ⿰木<肖>⿱⺌月
梦, ⿱<林>⿰木木<夕>⿴𠂊丶
梧, ⿰木<吾>⿱<五>⿱一𫝀口
梨, ⿱<利>⿰禾刂木
梭, ⿰木<夋>⿱<允>⿱厶儿夂
梯, ⿰木<弟>⿱丷<𢎨>⿹<弔>⿻弓丨丿
械, ⿰木<戒>⿹戈廾
梳, ⿰木<㐬>⿳亠厶<CDP-8BED>⿻儿丨
检, ⿰木佥
棉, ⿰木<帛>⿱白巾
棋, ⿰木其
棍, ⿰木<昆>⿱日比
棒, ⿰木<奉>⿱<𡗗>⿻<三>⿳一一一人<CDP-8BF1>⿻二丨
棕, ⿰木<宗>⿱宀示
棘, ⿰朿朿
棚, ⿰木<朋>⿰月月
棠, ⿳<龸>⿱⺌冖口木
森, ⿱木<林>⿰木木
棱, ⿰木<夌>⿱<圥>⿱土儿夂
棵, ⿰木<果>⿻日木
棺, ⿰木<官>⿱宀㠯
椅, ⿰木<奇>⿱大可
植, ⿰木<直>⿱十⿺𠃊目
椎, ⿰木隹
椒, ⿰木<叔>⿰<尗>⿱<上>⿱⺊一小又
椭, ⿰木<陏>⿰阝<有>⿸𠂇月
椰, ⿰木<耶>⿰耳阝
椿, ⿰木<春>⿱<𡗗>⿻<三>⿳一一一人日
楔, ⿰木<契>⿱⿰龶<刀>⿹𠃌丿大
楚, ⿱<林>⿰木木疋
楞, ⿰木<CDP-8AC5>⿱罒方
楣, ⿰木<眉>⿸𠃜目
楷, ⿰木<皆>⿱比白
楼, ⿰木<娄>⿱米女
概, ⿰木<既>⿰<CDP-8B7C>;旡
榄, ⿰木<览>⿱⿰〢<个>⿱𠂉丶见
榆, ⿰木<俞>⿱<CDP-8AFC>⿵𠆢一<刖>⿰月刂
榔, ⿰木<郎>⿰<CDP-8C42>⿱丶<CDP-8B7C>;阝
榕, ⿰木<容>⿱宀谷
榛, ⿰木<秦>⿱<𡗗>⿻<三>⿳一一一人禾
榜, ⿰木<旁>⿱<CDP-8BEC>⿱<CDP-8BAE>⿱亠丷冖方
榨, ⿰木<窄>⿱<穴>⿱宀八乍
榴, ⿰木<留>⿱卯田
槐, ⿰木鬼
槽, ⿰木<曹>⿱<CDP-8D61>⿻一曲日
樊, ⿱<棥>⿲木<爻>⿱㐅<乂>⿻丿乀木大
樟, ⿰木<章>⿱立<早>⿱日十
模, ⿰木<莫>⿱艹<旲>⿱日大
横, ⿰木<黄>⿳龷由八
樱, ⿰木<婴>⿱⿰贝贝女
橄, ⿰木<敢>⿰<CDP-8C5B>⿱<丅>⿱一丨耳攵
橘, ⿰木<矞>⿱矛冏
橙, ⿰木<登>⿱癶豆
橡, ⿰木<象>⿳𠂊<CDP-8BDE>⿴囗丨𧰨
橱, ⿰木<厨>⿸厂⿰豆寸
檀, ⿰木亶
檐, ⿰木<詹>⿸<厃>⿱𠂊厂⿱儿言
檩, ⿰木<禀>⿱<㐭>⿱亠<回>⿴囗口示
檬, ⿰木<蒙>⿱艹<冡>⿳冖一<豕>⿱一𧰨
次, ⿰冫欠
欢, ⿰又欠
欣, ⿰斤欠
欧, ⿰<区>⿷匚㐅欠
欲, ⿰谷欠
欺, ⿰其欠
款, ⿰<CDP-8C6A>⿱<士>⿱十一示欠
歇, ⿰<曷>⿱日<匃>⿹勹<亾>⿺𠃊人欠
歉, ⿰兼欠
歌, ⿰<哥>⿱可可欠
正, ⿱一止
此, ⿰止匕
步, ⿱止𣥂
武, ⿹<CDP-8CB8>⿻弋一止
歧, ⿰止<支>⿱十又
歪, ⿱<不>⿱一<CDP-8665>;<正>⿱一止
歹, ⿱一<夕>⿴𠂊丶
死, ⿸<歹>⿱一<夕>⿴𠂊丶匕
歼, ⿰<歹>⿱一<夕>⿴𠂊丶<千>⿱丿十
殃, ⿰<歹>⿱一<夕>⿴𠂊丶央
殉, ⿰<歹>⿱一<夕>⿴𠂊丶<旬>⿹勹日
殊, ⿰<歹>⿱一<夕>⿴𠂊丶朱
残, ⿰<歹>⿱一<夕>⿴𠂊丶<㦮>⿻戈二
殖, ⿰<歹>⿱一<夕>⿴𠂊丶<直>⿱十⿺𠃊目
殴, ⿰<区>⿷匚㐅<殳>⿱几又
段, ⿰<CDP-8CE4>;<殳>⿱几又
殷, ⿰㐆<殳>⿱几又
殿, ⿰<𡱒>⿸尸<共>⿱龷八<殳>⿱几又
毁, ⿰⿱臼工<殳>⿱几又
毅, ⿰<豙>⿱立𧰨<殳>⿱几又
每, ⿱𠂉母
毒, ⿱龶毋
毕, ⿱比十
毙, ⿱比<死>⿸<歹>⿱一<夕>⿴𠂊丶匕
毡, ⿺毛<占>⿱⺊口
毫, ⿱<CDP-8C4D>⿳亠口冖毛
毯, ⿺毛<炎>⿱<火>⿱八人<火>⿱八人
氓, ⿰<亡>⿱亠𠃊民
气, ⿳𠂉一乁
氛, ⿹<气>⿳𠂉一乁<分>⿱八<刀>⿹𠃌丿
氢, ⿹<气>⿳𠂉一乁𢀖
氧, ⿹<气>⿳𠂉一乁羊
氨, ⿹<气>⿳𠂉一乁<安>⿱宀女
氮, ⿹<气>⿳𠂉一乁<炎>⿱<火>⿱八人<火>⿱八人
水, ⿲⺂亅<CDP-8DEA>;
汁, ⿰氵十
求, ⿺<CDP-85DC>⿻一氺丶
汇, ⿰氵匚
汉, ⿰氵又
汗, ⿰氵干
汛, ⿰氵⿹⺄𠂇
汞, ⿱工水
江, ⿰氵工
池, ⿰氵也
污, ⿰氵亏
汤, ⿰氵𠃓
汪, ⿰氵<王>⿱一土
汰, ⿰氵<太>⿵大丶
汹, ⿰氵<凶>⿶凵㐅
汽, ⿰氵<气>⿳𠂉一乁
沃, ⿰氵夭
沈, ⿰氵冘
沉, ⿰氵<冗>⿱冖几
沐, ⿰氵木
沙, ⿰氵<少>⿱小丿
沛, ⿰氵<巿>⿻一巾
沟, ⿰氵<勾>⿹勹厶
没, ⿰氵<殳>⿱几又
沥, ⿰氵<历>⿸厂力
沦, ⿰氵<仑>⿱𠆢匕
沧, ⿰氵<仓>⿱𠆢㔾
沪, ⿰氵户
沫, ⿰氵末
沮, ⿰氵且
河, ⿰氵可
沸, ⿰氵弗
油, ⿰氵由
治, ⿰氵<台>⿱厶口
沼, ⿰氵<召>⿱<刀>⿹𠃌丿口
沽, ⿰氵<古>⿱十口
沾, ⿰氵<占>⿱⺊口
沿, ⿰氵<㕣>⿱八口
泄, ⿰氵世
泉, ⿱白水
泊, ⿰氵白
泌, ⿰氵<必>⿻心丿
法, ⿰氵<去>⿱土厶
泛, ⿰氵乏
泞, ⿰氵<宁>⿱宀丁
泡, ⿰氵包
波, ⿰氵皮
泣, ⿰氵立
泥, ⿰氵<尼>⿸尸匕
注, ⿰氵主
泪, ⿰氵目
泰, ⿱<𡗗>⿻<三>⿳一一一人氺
泳, ⿰氵永
泵, ⿱<石>⿸<丆>⿱一丿口水
泻, ⿰氵<写>⿱冖<与>⿻<CDP-8BBF>;一
泼, ⿰氵发
泽, ⿰氵<𠬤>⿱又<CDP-8BF1>⿻二丨
洁, ⿰氵<吉>⿱<士>⿱十一口
洋, ⿰氵羊
洒, ⿰氵<西>⿱一<𠁤>⿻儿口
洗, ⿰氵<先>⿱𠂒儿
洛, ⿰氵<各>⿱夂口
洞, ⿰氵<同>⿵<𠔼>⿵冂一口
津, ⿰氵聿
洪, ⿰氵<共>⿱龷八
洲, ⿰氵州
活, ⿰氵舌
洼, ⿰氵<圭>⿱土土
洽, ⿰氵<合>⿱<CDP-8AFC>⿵𠆢一口
派, ⿰氵<𠂢>⿸𠂆<CDP-8C66>;
流, ⿰氵<㐬>⿳亠厶<CDP-8BED>⿻儿丨
浅, ⿰氵<㦮>⿻戈二
浆, ⿰⿱丬<夕>⿴𠂊丶水
浇, ⿰氵尧兀
浊, ⿰氵虫
测, ⿰氵<则>⿰贝刂
济, ⿰氵<齐>⿱文<CDP-8BF5>⿰丿丨
浑, ⿰氵<军>⿱冖车
浓, ⿰氵<农>⿻冖𧘇
浙, ⿰氵<折>⿰扌斤
浦, ⿰氵甫
浩, ⿰氵<告>⿱𠂒口
浪, ⿰氵<良>⿱丨艮
浮, ⿰氵<孚>⿱爫子
浴, ⿰氵谷
海, ⿰氵<毎>⿱𠂉毋
浸, ⿰氵<𠬶>⿱<CDP-8BAB>⿴<CDP-8C78>;一⿱冖又
涂, ⿰氵余
消, ⿰氵<肖>⿱⺌月
涉, ⿰氵<步>⿱止𣥂
涌, ⿰氵<甬>⿱龴用
涎, ⿰氵<延>⿺廴<CDP-8D62>⿱丿止
涕, ⿰氵<弟>⿱丷<𢎨>⿹<弔>⿻弓丨丿
涛, ⿰氵<寿>⿸丰寸
涝, ⿰氵<劳>⿱<𫇦>⿱艹冖力
涡, ⿰氵<呙>⿱口<内>⿻冂人
涣, ⿰氵<奂>⿳𠂊冂大
涤, ⿰氵<条>⿱夂木
润, ⿰氵<闰>⿵门<王>⿱一土
涧, ⿰氵<间>⿵门日
涨, ⿰氵<张>⿰弓长
涩, ⿰氵⿱刃止
涮, ⿰氵<刷>⿰<𡰯>⿸尸巾刂
涯, ⿰氵<厓>⿸厂<圭>⿱土土
液, ⿰氵<夜>⿱亠⿰亻<CDP-89F3>⿴夂丶
涵, ⿰氵<函>⿶凵⿻<丂>⿱一㇉<CDP-89AE>⿱丷八
淀, ⿰氵<定>⿱宀<𤴓>⿱一龰
淆, ⿰氵<肴>⿱㐅<有>⿸𠂇月
淋, ⿰氵<林>⿰木木
淌, ⿰氵<尙>⿱𡭔冋
淑, ⿰氵<叔>⿰<尗>⿱<上>⿱⺊一小又
淘, ⿰氵<匋>⿹勹缶
淡, ⿰氵<炎>⿱<火>⿱八人<火>⿱八人
淤, ⿰氵<於>⿰方<仒>⿱𠆢<⺀>⿱丶丶
淫, ⿰氵㸒
淮, ⿰氵隹
深, ⿰氵<罙>⿱<⺳>⿱冖八木
淳, ⿰氵<享>⿳亠口子
混, ⿰氵<昆>⿱日比
淹, ⿰氵<奄>⿱大<电>⿻日乚
添, ⿰氵<忝>⿱夭<㣺>⿰小丶
清, ⿰氵<青>⿱龶月
渊, ⿰氵<𫂱>⿲丿米丨
渐, ⿰氵<斩>⿰车斤
渔, ⿰氵鱼
渗, ⿰氵<参>⿱厶⿱大彡
渠, ⿱<洰>⿰氵巨木
渡, ⿰氵<度>⿸广<CDP-8C46>⿱廿又
渣, ⿰氵<査>⿱木且
渤, ⿰氵<勃>⿰<孛>⿱<CDP-8D52>⿱十冖子力
温, ⿰氵<昷>⿱日皿
港, ⿰氵<巷>⿱<共>⿱龷八己
渴, ⿰氵<曷>⿱日<匃>⿹勹<亾>⿺𠃊人
游, ⿰氵<斿>⿰方<CDP-8C55>⿱𠂉子
渺, ⿰氵<眇>⿰目<少>⿱小丿
湃, ⿰氵<拜>⿰龵<CDP-8CE7>⿱一丰
湖, ⿰氵<胡>⿰<古>⿱十口月
湘, ⿰氵<相>⿰木目
湾, ⿰氵<弯>⿱<亦>⿱亠<CDP-8CB5>;弓
湿, ⿰氵<显>⿱日<业>⿱<CDP-85F0>;一
溃, ⿰氵<贵>⿱<𠀐>⿱<中>⿻口丨一贝
溅, ⿰氵<贱>⿰贝<戋>⿻戈一
溉, ⿰氵<既>⿰<CDP-8B7C>;旡
源, ⿰氵<原>⿸厂<CDP-8BC4>⿱白小
溜, ⿰氵<留>⿱卯田
溢, ⿰氵<益>⿳䒑八皿
溪, ⿰氵<奚>⿱爫<𡗞>⿱幺大
溯, ⿰氵<朔>⿰<屰>⿱䒑<屮>⿻凵丿月
溶, ⿰氵<容>⿱宀谷
溺, ⿰氵<弱>⿰<CDP-8CC4>⿹弓冫<CDP-8CC4>⿹弓冫
滋, ⿰氵<兹>⿱䒑<𢆶>⿰幺幺
滑, ⿰氵骨
滓, ⿰氵<宰>⿱宀<辛>⿱立十
滔, ⿰氵<舀>⿱爫臼
滚, ⿰氵<衮>⿳亠<公>⿱八厶𧘇
滞, ⿰氵<帯>⿳<丗>⿻廿丨冖巾
满, ⿰氵⿱艹两
滤, ⿰氵<虑>⿸<虍>⿸⿱⺊<CDP-88E2>;<七>⿻<CDP-8DE4>;乚心
滥, ⿰氵<监>⿱⿰〢<个>⿱𠂉丶皿
滨, ⿰氵<宾>⿱宀<兵>⿱丘八
滩, ⿰氵<难>⿰又隹
滴, ⿰氵<啇>⿱<CDP-8BAE>⿱亠丷⿵冂<古>⿱十口
漂, ⿰氵<票>⿱西示
漆, ⿰氵<桼>⿱木<CDP-8D71>⿱𠆢氺
漏, ⿰氵<屚>⿸尸雨
漓, ⿰氵<离>⿱<㐫>⿱亠<凶>⿶凵㐅<禸>⿻冂厶
演, ⿰氵<寅>⿱宀⿳一由八
漠, ⿰氵<莫>⿱艹<旲>⿱日大
漩, ⿰氵<旋>⿰方<CDP-8DA6>⿱𠂉疋
漫, ⿰氵<曼>⿳日罒又
漱, ⿰氵<欶>⿰束欠
漾, ⿰氵羕
潘, ⿰氵<番>⿱<釆>⿱丿米田
潜, ⿰氵<替>⿱<㚘>⿰夫夫日
潦, ⿰氵尞
潭, ⿰氵<覃>⿱襾<早>⿱日十
潮, ⿰氵<朝>⿰<𠦝>⿱十<早>⿱日十月
澄, ⿰氵<登>⿱癶豆
澈, ⿲氵<育>⿱<𠫓>⿱亠厶月攵
澎, ⿰氵<彭>⿰<壴>⿱十豆彡
澜, ⿰氵<阑>⿵门柬
澡, ⿰氵<喿>⿱<品>⿱口<吅>⿰口口木
澳, ⿰氵<奧>⿱<CDP-8D7C>⿱丿⿵冂<釆>⿱丿米大
激, ⿰氵<敫>⿰<CDP-8CE0>⿱白方攵
濒, ⿰氵<频>⿰<步>⿱止𣥂页
瀑, ⿰氵<暴>⿱日<㳟>⿱<共>⿱龷八氺
灌, ⿰氵<雚>⿱卝<𨾴>⿱<吅>⿰口口隹
火, ⿱八人
灭, ⿱一<火>⿱八人
灯, ⿰<火>⿱八人丁
灰, ⿸厂<火>⿱八人
灵, ⿱<CDP-8BAB>⿴<CDP-8C78>;一<火>⿱八人
灶, ⿰<火>⿱八人土
灸, ⿱久<火>⿱八人
灼, ⿰<火>⿱八人<勺>⿹勹丶
灾, ⿱宀<火>⿱八人
灿, ⿰<火>⿱八人山
炉, ⿰<火>⿱八人户
炊, ⿰<火>⿱八人欠
炎, ⿱<火>⿱八人<火>⿱八人
炒, ⿰<火>⿱八人<少>⿱小丿
炕, ⿰<火>⿱八人<亢>⿱亠几
炫, ⿰<火>⿱八人<玄>⿱亠幺
炬, ⿰<火>⿱八人巨
炭, ⿱山<灰>⿸厂<火>⿱八人
炮, ⿰<火>⿱八人包
炸, ⿰<火>⿱八人乍
点, ⿱<占>⿱⺊口灬
炼, ⿰<火>⿱八人<CDP-89BA>;
烁, ⿰<火>⿱八人乐
烂, ⿰<火>⿱八人<兰>⿱丷<三>⿳一一一
烈, ⿱<列>⿰<歹>⿱一<夕>⿴𠂊丶刂灬
烘, ⿰<火>⿱八人<共>⿱龷八
烙, ⿰<火>⿱八人<各>⿱夂口
烛, ⿰<火>⿱八人虫
烟, ⿰<火>⿱八人<因>⿴囗大
烤, ⿰<火>⿱八人<考>⿱耂<丂>⿱一㇉
烦, ⿰<火>⿱八人页
烧, ⿰<火>⿱八人尧兀
烫, ⿱<汤>⿰氵𠃓<火>⿱八人
热, ⿱<执>⿰扌<丸>⿻九丶灬
烹, ⿱<亨>⿳亠口<了>⿱乛亅灬
焊, ⿰<火>⿱八人<旱>⿱日干
焕, ⿰<火>⿱八人<奂>⿳𠂊冂大
焙, ⿰<火>⿱八人<咅>⿱立口
焚, ⿱<林>⿰木木<火>⿱八人
焦, ⿱隹灬
焰, ⿰<火>⿱八人<臽>⿱勹臼
然, ⿱⿰<CDP-8B5E>⿴𠂊<⺀>⿱丶丶犬灬
煌, ⿰<火>⿱八人<皇>⿱白<王>⿱一土
煎, ⿱<前>⿱䒑<刖>⿰月刂灬
煞, ⿱⿰<刍>⿱𠂊彐攵灬
煤, ⿰<火>⿱八人<某>⿱甘木
照, ⿱<昭>⿰日<召>⿱<刀>⿹𠃌丿口灬
煮, ⿱<者>⿸耂日灬
熄, ⿰<火>⿱八人<息>⿱自心
熊, ⿱<能>⿰䏍⿱匕匕灬
熔, ⿰<火>⿱八人<容>⿱宀谷
熙, ⿱<巸>⿰𦣝巳灬
熟, ⿱<孰>⿰<享>⿳亠口子<丸>⿻九丶灬
熬, ⿱<敖>⿰⿱土方攵灬
燃, ⿰<火>⿱八人<然>⿱⿰<CDP-8B5E>⿴𠂊<⺀>⿱丶丶犬灬
燎, ⿰<火>⿱八人尞
燕, ⿳廿<CDP-8D76>⿴<北>⿰<CDP-8BC5>;匕口灬
燥, ⿰<火>⿱八人<喿>⿱<品>⿱口<吅>⿰口口木
爆, ⿰<火>⿱八人<暴>⿱日<㳟>⿱<共>⿱龷八氺
爬, ⿺爪巴
爱, ⿱<CDP-8BB8>⿱爫冖<友>⿸𠂇又
爵, ⿳爫罒<𡬠>⿰<CDP-8B7C>;寸
父, ⿱八<乂>⿻丿乀
爷, ⿱<父>⿱八<乂>⿻丿乀卩
爸, ⿱<父>⿱八<乂>⿻丿乀巴
爹, ⿱<父>⿱八<乂>⿻丿乀<多>⿱<夕>⿴𠂊丶<夕>⿴𠂊丶
爽, ⿻大<㸚>⿰<爻>⿱㐅<乂>⿻丿乀<爻>⿱㐅<乂>⿻丿乀
版, ⿰片反
牌, ⿰片<卑>⿱<甶>⿱丿田⿻丿十
牍, ⿰片<卖>⿱十<买>⿱乛头
牡, ⿰牛土
牢, ⿱宀牛
牧, ⿰牛攵
物, ⿰牛勿
牲, ⿰牛生
牵, ⿳大冖牛
特, ⿰牛<寺>⿱土寸
牺, ⿰牛<西>⿱一<𠁤>⿻儿口
犀, ⿸尸⿱<CDP-8C41>⿻丨<CDP-89AE>⿱丷八牛
犁, ⿱<利>⿰禾刂牛
犯, ⿰犭㔾
状, ⿰丬犬
犹, ⿰犭<尤>⿺尢丶
狂, ⿰犭<王>⿱一土
狈, ⿰犭贝
狐, ⿰犭瓜
狗, ⿰犭<句>⿹勹口
狞, ⿰犭<宁>⿱宀丁
狠, ⿰犭艮
狡, ⿰犭交
独, ⿰犭虫
狭, ⿰犭<夹>⿻夫丷
狮, ⿰犭师
狰, ⿰犭争
狱, ⿲犭讠犬
狸, ⿰犭里
狼, ⿰犭<良>⿱丨艮
猎, ⿰犭<昔>⿱龷日
猖, ⿰犭<昌>⿱日日
猛, ⿰犭<孟>⿱子皿
猜, ⿰犭<靑>⿱龶円
猩, ⿰犭<星>⿱日生
猪, ⿰犭<者>⿸耂日
猫, ⿰犭<苗>⿱艹田
猬, ⿰犭<胃>⿱田月
献, ⿰<南>⿱十<CDP-8BDC>⿵冂<𢆉>⿱丷干犬
猴, ⿰犭<侯>⿰亻<CDP-8BC7>⿱<CDP-8BC8>⿱𠃍一矢
猾, ⿰犭骨
猿, ⿰犭<袁>⿱<𠮷>⿱土口𧘇
玄, ⿱亠幺
率, ⿱⿻<玄>⿱亠幺<CDP-89AE>⿱丷八十
玉, ⿷<王>⿱一土丶
王, ⿱一土
玖, ⿰<王>⿱一土久
玛, ⿰<王>⿱一土马
玩, ⿰<王>⿱一土元
玫, ⿰<王>⿱一土攵
环, ⿰<王>⿱一土<不>⿱一<CDP-8665>;
现, ⿰<王>⿱一土见
玲, ⿰<王>⿱一土令
玷, ⿰<王>⿱一土<占>⿱⺊口
玻, ⿰<王>⿱一土皮
珊, ⿰<王>⿱一土<冊>⿻<𦉫>⿵冂⿰丨丨一
珍, ⿰<王>⿱一土㐱
珠, ⿰<王>⿱一土朱
班, ⿲<王>⿱一土<CDP-8BEA>;<王>⿱一土
球, ⿰<王>⿱一土<求>⿺<CDP-85DC>⿻一氺丶
琅, ⿰<王>⿱一土<良>⿱丨艮
理, ⿰<王>⿱一土里
琉, ⿰<王>⿱一土<㐬>⿳亠厶<CDP-8BED>⿻儿丨
琐, ⿰<王>⿱一土⿱⺌贝
琢, ⿰<王>⿱一土<豕>⿱一𧰨
琳, ⿰<王>⿱一土<林>⿰木木
琴, ⿱<玨>⿰<王>⿱一土<王>⿱一土今
琼, ⿰<王>⿱一土<京>⿳亠口小
瑞, ⿰<王>⿱一土<耑>⿱山而
瑟, ⿱<玨>⿰<王>⿱一土<王>⿱一土<必>⿻心丿
瑰, ⿰<王>⿱一土鬼
璃, ⿰<王>⿱一土<离>⿱<㐫>⿱亠<凶>⿶凵㐅<禸>⿻冂厶
璧, ⿱<辟>⿰𡰪<辛>⿱立十玉
瓢, ⿰<票>⿱西示瓜
瓣, ⿲<辛>⿱立十瓜<辛>⿱<立>⿱<CDP-8BAE>⿱亠丷一十
瓤, ⿰<襄>⿳亠⿱<吅>⿰口口<𠀎>⿱井一𧘇瓜
瓮, ⿱<公>⿱八厶瓦
瓶, ⿰并瓦
瓷, ⿱<次>⿰冫欠瓦
甚, ⿱<CDP-88C8>;<匹>⿷匚儿
甜, ⿰舌甘
甥, ⿰生<男>⿱田力
用, ⿵冂<CDP-8BF1>⿻二丨
甩, ⿵冂<CDP-8A43>⿻二乚
甫, ⿺<CDP-86B7>⿻十月丶
电, ⿻日乚
男, ⿱田力
甸, ⿹勹田
画, ⿱一⿶凵由
畅, ⿰申𠃓
界, ⿱田<介>⿱𠆢<CDP-8BF5>⿰丿丨
畏, ⿳田一<CDP-8CC6>⿰𠄌⿺乀丿
畔, ⿰田<半>⿱丷<CDP-8BF1>⿻二丨
留, ⿱卯田
畜, ⿱<玄>⿱亠幺田
略, ⿰田<各>⿱夂口
畦, ⿰田<圭>⿱土土
番, ⿱<釆>⿱丿米田
畴, ⿰田<寿>⿸丰寸
畸, ⿰田<奇>⿱大可
疆, ⿰<CDP-8DB8>⿹弓土<畺>⿳⿱一田⿱一田一
疏, ⿰𤴔<㐬>⿳亠厶<CDP-8BED>⿻儿丨
疑, ⿰<𠤕>⿱匕矢⿱龴疋
疗, ⿸疒<了>⿱乛亅
疙, ⿸疒<乞>⿱𠂉乙
疚, ⿸疒久
疟, ⿸疒<CDP-8DC1>;
疤, ⿸疒巴
疫, ⿸疒<殳>⿱几又
疮, ⿸疒<仓>⿱𠆢㔾
疯, ⿸疒风
疲, ⿸疒皮
疹, ⿸疒㐱
疼, ⿸疒<冬>⿱夂<⺀>⿱丶丶
疾, ⿸疒矢
病, ⿸疒<丙>⿱一<内>⿻冂人
症, ⿸疒<正>⿱一止
痊, ⿸疒<全>⿱𠆢<王>⿱一土
痒, ⿸疒羊
痕, ⿸疒艮
痘, ⿸疒豆
痛, ⿸疒<甬>⿱龴用
痢, ⿸疒<利>⿰禾刂
痪, ⿸疒<奂>⿳𠂊冂大
痰, ⿸疒<炎>⿱<火>⿱八人<火>⿱八人
痴, ⿸疒<知>⿰矢口
痹, ⿸疒<畀>⿱田<丌>⿱一<CDP-8BF5>⿰丿丨
瘟, ⿸疒<𥁕>⿱<囚>⿴囗人皿
瘤, ⿸疒<留>⿱卯田
瘦, ⿸疒<叟>⿱<CDP-884F>⿻臼丨又
瘩, ⿸疒<荅>⿱艹<合>⿱<CDP-8AFC>⿵𠆢一口
瘪, ⿸疒⿱自<仓>⿱𠆢㔾
瘫, ⿸疒<难>⿰又隹
瘸, ⿸疒<𦙲>⿱<加>⿰力口肉
瘾, ⿸疒<隐>⿰阝<急>⿱<刍>⿱𠂊彐心
癌, ⿸疒<嵒>⿱<品>⿱口<吅>⿰口口山
癞, ⿸疒<赖>⿰束<负>⿱𠂊贝
癣, ⿸疒<鲜>⿰鱼羊
登, ⿱癶豆
百, ⿱一白
皂, ⿱白<七>⿻<CDP-8DE4>;乚
的, ⿰白<勺>⿹勹丶
皆, ⿱比白
皇, ⿱白<王>⿱一土
皱, ⿰<刍>⿱𠂊彐皮
盅, ⿱<中>⿻口丨皿
盆, ⿱<分>⿱八<刀>⿹𠃌丿皿
盈, ⿱<夃>⿵<乃>⿹𠄎丿又皿
