怀 zuodian-dian-shu-heng-pie-shu-dian
洩 dian-dian-ti-shu-hengzhe-heng-heng-xiegou-pie
倫 pie-shu-pie-na-heng-shu-hengzhegou-heng-shu-shu
侪 pie-shu-dian-heng-pie-na-pie-shu
匭 heng-heng-shu-hengzhe-heng-heng-heng-shu-shupie-hengzhewangou-shuzhe
劬 pie-hengzhegou-shu-hengzhe-heng-hengzhegou-shupie
嘯 shu-hengzhe-heng-hengzhe-heng-heng-shu-shupie-shu-shu-heng-shuzhe-heng-hengzhe-heng-shu
單 shu-hengzhe-heng-shu-hengzhe-heng-shu-hengzhe-heng-heng-heng-shu
失 pie-heng-heng-shupie-na
癲 dian-heng-shupie-dian-ti-shuwangou-heng-shu-hengzhe-heng-heng-heng-shuzhe-pie-dian-heng-pie-shu-hengzhe-heng-heng-heng-pie-dian
張 hengzhe-heng-shuzhezhegou-heng-shu-heng-heng-heng-shuti-pie-na
户 dian-hengzhe-heng-shupie
憶 zuodian-dian-shu-dian-heng-dian-pie-heng-shu-hengzhe-heng-heng-zuodian-wogou-dian-dian
改 hengzhe-heng-shuti-pie-heng-pie-na
撸 heng-shugou-ti-pie-hengpie-shu-hengzhe-heng-shu-heng-heng-shu-hengzhegou-heng-heng
欽 pie-dian-heng-heng-shu-dian-pie-ti-pie-henggou-pie-na
丿 shupie
允 piezhe-dian-pie-shuwangou
烀 dian-pie-shupie-dian-pingpie-dian-pie-heng-shugou
呃 shu-hengzhe-heng-heng-shupie-hengzhegou-shuwangou
参 piezhe-dian-heng-pie-na-pie-pie-pie
姆 piedian-pie-heng-shuzhe-hengzhegou-dian-heng-dian
恋 dian-heng-shu-shu-zuodian-dian-zuodian-wogou-dian-dian
捍 heng-shugou-ti-shu-hengzhe-heng-heng-heng-heng-shu
拌 heng-shugou-ti-dian-pie-heng-heng-shu
晏 shu-hengzhe-heng-heng-dian-zuodian-henggou-piedian-pie-heng
旎 dian-heng-hengzhegou-pie-pie-heng-hengzhe-heng-shupie-pie-shuwangou
毒 heng-heng-shu-heng-piezhe-hengzhegou-dian-heng-dian
何 pie-shu-heng-shu-hengzhe-heng-shugou
仔 pie-shu-hengpie-shugou-heng
留 pie-shuti-dian-hengzhegou-pie-shu-hengzhe-heng-shu-heng
澥 dian-dian-ti-pie-hengpie-shupie-hengzhegou-heng-heng-shu-hengzhegou-pie-zuodian-heng-heng-shu
埚 heng-shu-ti-shu-hengzhe-heng-shu-hengzhegou-shupie-dian
孝 heng-shu-heng-pie-hengpie-shugou-heng
嫜 piedian-pie-heng-dian-heng-dian-pie-heng-shu-hengzhe-heng-heng-heng-shu
幟 shu-hengzhegou-shu-dian-heng-dian-pie-heng-shu-hengzhe-heng-heng-xiegou-pie-dian
州 zuodian-shupie-dian-shu-dian-shu
惠 heng-shu-hengzhe-heng-heng-shu-ti-dian-zuodian-wogou-dian-dian
王 heng-heng-shu-heng
来 heng-dian-pie-heng-shu-pie-na
浩 dian-dian-ti-pie-heng-shu-heng-shu-hengzhe-heng
注 dian-dian-ti-dian-heng-heng-shu-heng
火 dian-pie-shupie-na
俪 pie-shu-heng-shu-hengzhegou-dian-shu-hengzhegou-dian
獭 pie-wangou-pie-heng-shu-hengzhe-heng-shu-pie-dian-pie-hengpie-shu-hengzhe-shupie-dian
湓 dian-dian-ti-pie-na-hengzhegou-pie-shu-hengzhe-shu-shu-heng
噯 shu-hengzhe-heng-pingpie-dian-dian-pie-zuodian-henggou-zuodian-wogou-dian-dian-pie-hengpie-na
声 heng-shu-heng-hengzhe-shu-heng-shupie
廴 hengzhezhepie-pingna
懶 zuodian-dian-shu-heng-shu-hengzhe-heng-shu-pie-dian-hengzhegou-pie-shu-hengzhe-heng-heng-heng-pie-dian
疲 dian-heng-shupie-dian-ti-henggou-shupie-shu-hengpie-na
灾 dian-zuodian-henggou-dian-pie-pie-na
乿 pie-dian-dian-pie-piezhe-piezhe-dian-shugou-zuodian-dian-shuwangou
儀 pie-shu-dian-pie-heng-heng-shu-heng-pingpie-heng-shugou-ti-xiegou-pie-dian
喃 shu-hengzhe-heng-heng-shupie-shu-hengzhegou-dian-pie-heng-heng-shu
刂 shu-shugou
嚅 shu-hengzhe-heng-heng-zuodian-henggou-shu-dian-dian-dian-dian-heng-pie-shu-hengzhegou-shu-shu
圄 shu-hengzhegou-heng-shu-hengzhe-heng-shu-hengzhe-heng-heng
宇 dian-zuodian-henggou-heng-heng-shugou
堆 heng-shu-ti-pie-shu-dian-heng-heng-heng-shu-heng
憋 dian-pie-shu-hengzhegou-shu-zuodian-dian-pie-heng-pie-na-zuodian-wogou-dian-dian
璺 pie-shu-heng-heng-shu-hengzhe-heng-shu-hengzhe-heng-hengzhe-heng-heng-zuodian-henggou-heng-heng-shu-heng-dian
畫 hengzhe-heng-heng-heng-shu-heng-shu-hengzhe-heng-shu-heng-heng
椐 heng-shu-pie-dian-hengzhe-heng-shupie-heng-shu-shu-hengzhe-heng
涓 dian-dian-ti-shu-hengzhe-heng-shu-hengzhegou-heng-heng
井 heng-heng-shupie-shu
演 dian-dian-ti-dian-zuodian-henggou-heng-shu-hengzhe-heng-shu-heng-pie-dian
厗 heng-shupie-dian-heng-dian-pie-heng-heng-shu
倖 pie-shu-heng-shu-heng-dian-pie-heng-heng-shu
咙 shu-hengzhe-heng-heng-shupie-shuwangou-pie-dian
甘 heng-shu-shu-heng-heng
嘚 shu-hengzhe-heng-pie-pie-shu-shu-hengzhe-heng-heng-heng-heng-shugou-dian
灌 dian-dian-ti-heng-shu-pie-shu-hengzhe-heng-shu-hengzhe-heng-pie-shu-dian-heng-heng-heng-shu-heng
尞 heng-pie-na-dian-pie-shu-hengzhe-heng-heng-shugou-zuodian-dian
愠 zuodian-dian-shu-shu-hengzhe-heng-heng-shu-hengzhe-shu-shu-heng
戢 shu-hengzhe-heng-heng-shu-shu-heng-heng-ti-xiegou-pie-dian
眇 shu-hengzhe-heng-heng-heng-shu-zuodian-dian-pie
沩 dian-dian-ti-dian-shupie-hengzhegou-dian
洨 dian-dian-ti-dian-heng-pie-dian-pie-na
冫 dian-ti
个 pie-na-shu
劭 hengzhegou-pie-shu-hengzhe-heng-hengzhegou-shupie
猬 pie-wangou-pie-shu-hengzhe-heng-shu-heng-shu-hengzhegou-heng-heng
垯 heng-shu-ti-heng-shupie-dian-dian-hengzhezhepie-pingna
吮 shu-hengzhe-heng-piezhe-dian-pie-shuwangou
渖 dian-dian-ti-dian-zuodian-henggou-shu-hengzhe-heng-heng-shu
瀉 dian-dian-ti-dian-zuodian-henggou-pie-shu-heng-hengzhe-heng-heng-pie-hengzhegou-zuodian-dian-dian-dian
娲 piedian-pie-heng-shu-hengzhe-heng-shu-hengzhegou-shupie-dian
庵 dian-heng-shupie-heng-pie-na-shu-hengzhe-heng-heng-shuwangou
掷 heng-shugou-ti-dian-pie-heng-heng-pie-dian-hengpiewangou-shu
攸 pie-shu-shu-pie-heng-pie-na
榻 heng-shu-pie-dian-shu-hengzhe-heng-heng-hengzhegou-dian-ti-hengzhegou-dian-ti
濞 dian-dian-ti-pie-shu-hengzhe-heng-heng-heng-shu-hengzhe-heng-shu-heng-heng-pie-shu
便 pie-shu-heng-shu-hengzhe-heng-heng-shupie-na
䰾 pie-hengpie-shu-hengzhe-heng-shu-heng-zuodian-dian-dian-dian-hengzhe-shu-heng-shuwangou
烁 zuodian-pie-shupie-dian-pingpie-shuzhe-shugou-zuodian-dian
兀 heng-shupie-shuwangou
痃 dian-heng-shupie-dian-ti-dian-heng-piezhe-piezhe-dian
剂 dian-heng-pie-dian-pie-shu-shu-shuzhezhe
盅 shu-hengzhe-heng-shu-shu-hengzhe-shu-shu-heng
寇 dian-zuodian-henggou-heng-heng-pie-shuwangou-shu-heng-hengpie-dian
渍 dian-dian-ti-heng-heng-shu-heng-shu-hengzhe-shupie-dian
懋 heng-shu-pie-dian-hengpie-dian-henggou-shugou-pie-heng-shu-pie-na-zuodian-wogou-dian-dian
拍 heng-shugou-ti-pie-shu-hengzhe-heng-heng
捌 heng-shugou-ti-shu-hengzhe-heng-hengzhegou-pie-shu-shugou
柏 heng-shu-pie-dian-pie-shu-hengzhegou-heng-heng
澌 dian-dian-ti-heng-shu-shu-heng-heng-heng-pie-dian-pie-shupie-heng-shu
仕 pie-shu-heng-shu-heng
佔 pie-shu-shu-heng-shu-hengzhe-heng
受 pingpie-dian-dian-pie-zuodian-henggou-hengpie-na
哙 shu-hengzhe-heng-pie-na-heng-heng-piezhe-dian
照 shu-hengzhe-heng-heng-hengzhegou-pie-shu-hengzhe-heng-zuodian-dian-dian-dian
漶 dian-dian-ti-shu-hengzhe-heng-shu-hengzhe-heng-shu-zuodian-wogou-dian-dian
孜 hengpie-shugou-ti-pie-heng-pie-na
属 hengzhe-heng-shupie-pingpie-shu-hengzhe-heng-shu-hengzhegou-shu-ti-dian
惡 heng-shu-heng-shuzhezhe-shuzhezhe-heng-shu-heng-zuodian-wogou-dian-dian
扢 heng-shugou-ti-pie-heng-hengzhewangou
桦 heng-shu-pie-dian-pie-shu-pie-shuwangou-heng-shu
凫 pie-hengzhegou-dian-shuzhezhegou-pie-hengzhewangou
狭 pie-wangou-pie-heng-dian-pie-heng-shupie-na
卬 pie-shuti-hengzhegou-shu
埯 heng-shu-ti-heng-shupie-na-shu-hengzhe-heng-heng-shuwangou
巳 hengzhe-heng-shuwangou
恶 heng-shu-shu-dian-pie-heng-zuodian-wogou-dian-dian
數 shu-hengzhe-heng-heng-shu-hengzhe-heng-shu-piedian-pie-heng-pie-heng-pie-na
唾 shu-henggou-heng-pingpie-heng-shu-heng-shu-shu-heng-heng
歼 heng-pie-hengpie-dian-pingpie-heng-shu
汾 dian-dian-ti-pie-na-hengzhegou-pie
冀 shu-heng-ti-pie-shuwangou-shu-hengzhe-heng-shu-heng-heng-shu-shu-heng-pie-dian
劂 heng-shupie-dian-pie-heng-shuzhe-shu-pie-pie-hengpie-pie-dian-shu-shugou
嘅 shu-hengzhe-heng-hengzhe-heng-heng-shuti-dian-heng-shuzhe-shupie-shuwangou
垄 heng-pie-shuwangou-pie-dian-heng-shu-heng
㢆 dian-heng-shupie-shu-hengzhe-heng-heng-shu-heng-heng
尉 hengzhe-heng-shupie-heng-heng-shugou-zuodian-dian-heng-shugou-dian
床 dian-heng-shupie-heng-shu-pie-na
戍 heng-shupie-dian-xiegou-pie-dian
掌 shu-dian-pie-zuodian-henggou-shu-hengzhe-heng-pingpie-heng-heng-shugou
烬 dian-pie-shupie-dian-hengzhe-heng-pie-na-dian-dian
树 heng-shu-pie-dian-hengpie-dian-heng-shugou-dian
丕 heng-pie-shu-dian-heng
侔 pie-shu-piezhe-dian-pie-heng-heng-shu
北 shu-heng-ti-pie-shuwangou
傖 pie-shu-pie-na-dian-hengzhe-heng-heng-shupie-shu-hengzhe-heng
喘 shu-hengzhe-heng-shu-shuzhe-shu-heng-pie-shu-hengzhegou-shu-shu
皚 pie-shu-hengzhe-heng-heng-shu-shuzhe-shu-heng-shu-hengzhe-heng-dian-pie-heng
宜 dian-zuodian-henggou-shu-hengzhe-heng-heng-heng
弟 dian-pie-hengzhe-heng-shuzhezhegou-shu-pie
怡 zuodian-dian-shu-piezhe-dian-shu-hengzhe-heng
攣 piezhe-piezhe-dian-zuodian-dian-dian-dian-heng-heng-heng-shu-hengzhe-heng-piezhe-piezhe-dian-dian-dian-dian-pingpie-heng-heng-shugou
抢 heng-shugou-ti-pie-na-hengzhegou-shuwangou
春 heng-heng-heng-pie-na-shu-hengzhe-heng-heng
欧 heng-pie-dian-shuzhe-pie-henggou-pie-na
梦 heng-shu-pie-dian-heng-shu-pie-na-pie-hengpie-dian
氩 pie-heng-heng-hengzhexiegou-heng-shu-shu-dian-pie-heng
涨 dian-dian-ti-dian-heng-shuzhezhegou-pie-heng-shuti-na
溪 dian-dian-ti-pingpie-dian-dian-pie-piezhe-piezhe-dian-heng-pie-na
刭 hengpie-dian-heng-shu-ti-shu-shugou
圯 heng-shu-ti-hengzhe-heng-shuwangou
報 heng-shu-heng-dian-pie-heng-heng-shu-hengzhegou-shu-hengpie-na
痉 dian-heng-shupie-dian-ti-hengpie-dian-heng-shu-heng
媲 piedian-pie-heng-pie-shu-hengzhegou-pie-dian-heng-heng-shuti-pie-shuwangou
徴 pie-pie-shu-shu-shuzhe-shu-heng-heng-shu-ti-pie-heng-pie-na
悶 shu-hengzhe-heng-heng-shu-hengzhegou-heng-heng-zuodian-wogou-dian-dian
煆 zuodian-pie-shupie-dian-hengzhe-heng-shu-heng-heng-hengzhe-heng-hengpie-na
燼 zuodian-pie-shupie-dian-hengzhe-heng-heng-shu-heng-zuodian-dian-dian-dian-shu-hengzhe-shu-shu-heng
樽 heng-shu-pie-dian-dian-pie-heng-shu-hengzhe-shupie-shuwan-heng-heng-heng-shugou-dian
殼 heng-shu-heng-zuodian-henggou-heng-pie-hengzheti-pie-hengzhewan-hengpie-na
漿 shuzhe-shu-heng-pie-pie-hengpie-dian-dian-heng-shugou-dian-shugou-hengpie-pie-na
沾 dian-dian-ti-shu-heng-shu-hengzhe-heng
净 dian-ti-pie-hengpie-hengzhe-heng-heng-shugou
啃 shu-hengzhe-heng-shu-heng-shu-heng-shu-hengzhegou-heng-heng
狂 pie-wangou-pie-heng-heng-shu-heng
埄 heng-shu-ti-pie-hengpie-na-heng-heng-heng-shu
屉 hengzhe-heng-shupie-heng-shu-shu-heng-shuzhe
態 piezhe-dian-shu-hengzhegou-heng-heng-pie-shuwangou-pie-shuwangou-zuodian-wogou-dian-dian
廊 dian-heng-shupie-dian-hengzhe-heng-heng-shuti-dian-hengpiewangou-shu
才 heng-shugou-pie
杏 heng-shu-pie-na-shu-hengzhe-heng
擎 heng-shu-pie-pie-hengzhegou-shu-hengzhe-heng-pie-heng-pie-na-pingpie-heng-heng-shugou
桑 hengpie-dian-hengpie-dian-hengpie-dian-heng-shu-pie-na
槐 heng-shu-pie-dian-pie-shu-hengzhe-heng-heng-shupie-shuwangou-piezhe-dian
浓 dian-dian-ti-zuodian-henggou-shupie-shuti-pie-na
溢 dian-dian-ti-dian-pie-heng-pie-dian-shu-hengzhe-shu-shu-heng
眨 shu-hengzhe-heng-heng-heng-pingpie-dian-hengzhegou-pingna
南 heng-shu-shu-hengzhegou-dian-pie-heng-heng-shu
僖 pie-shu-heng-shu-heng-shu-hengzhe-heng-dian-pie-heng-shu-hengzhe-heng
呙 shu-hengzhe-heng-shu-hengzhegou-shupie-dian
痘 dian-heng-shupie-dian-ti-heng-shu-hengzhe-heng-dian-pie-heng
囚 shu-hengzhegou-pie-dian-heng
彟 hengzhe-heng-heng-heng-shugou-dian-shu-heng-pie-heng-pie-shu-dian-heng-heng-heng-shu-heng-pie-na
散 heng-shu-shu-heng-shu-hengzhegou-heng-heng-pie-heng-pie-na
拢 heng-shugou-ti-heng-shupie-shuwangou-pie-dian
歧 shu-heng-shu-ti-heng-shu-hengpie-na
汩 dian-dian-ti-shu-hengzhegou-heng-heng
淨 dian-dian-ti-pingpie-dian-dian-pie-hengzhe-heng-heng-shugou
八 pie-na
仪 pie-shu-dian-pie-na
召 hengzhegou-pie-shu-hengzhe-heng
坯 heng-shu-ti-heng-pie-shu-dian-heng
哮 shu-hengzhe-heng-heng-shu-heng-pie-hengpie-shugou-heng
獒 heng-heng-shu-heng-hengzhegou-pie-pie-heng-pie-dian-heng-pie-na-dian
捷 heng-shugou-ti-heng-hengzhe-heng-heng-shu-heng-pie-na
惶 zuodian-dian-shu-pie-shu-hengzhe-heng-heng-heng-heng-shu-heng
摹 heng-shu-pie-shu-hengzhe-heng-heng-heng-pie-na-pingpie-heng-heng-shugou
濾 dian-dian-ti-shu-heng-henggou-shupie-heng-shuwangou-shu-hengzhe-heng-shu-heng-zuodian-wogou-dian-dian
使 pie-shu-heng-shu-hengzhe-heng-shupie-na
泾 dian-dian-ti-hengpie-dian-heng-shu-heng
刀 hengzhegou-pie
皃 pie-shu-hengzhe-heng-heng-pie-shuwangou
儂 pie-shu-shu-hengzhe-heng-shu-shu-heng-heng-shupie-heng-heng-shuti-pie-na
各 pie-hengpie-na-shu-hengzhe-heng
溥 dian-dian-ti-heng-shu-hengzhe-heng-heng-shu-dian-heng-shugou-dian
徉 pie-pie-shu-dian-pie-heng-heng-heng-shu
师 shu-shupie-heng-shu-hengzhegou-shu
亓 heng-heng-pie-shu
椒 heng-shu-pie-dian-shu-heng-heng-shugou-zuodian-dian-hengpie-na
涕 dian-dian-ti-dian-pie-hengzhe-heng-shuzhezhegou-shu-pie
气 pie-heng-heng-hengzhewangou
化 pie-shu-pie-shuwangou
嘘 shu-hengzhe-heng-shu-heng-henggou-shupie-heng-shuwangou-shu-shu-dian-pie-heng
媛 piedian-pie-heng-pingpie-dian-dian-pie-heng-heng-pie-hengpie-na
唚 shu-hengzhe-heng-hengzhe-heng-heng-zuodian-henggou-hengpie-na
妝 shuzhe-shu-heng-pie-piedian-pie-heng
甄 heng-shu-hengzhe-shu-shu-heng-heng-shu-ti-heng-shuti-hengzhewangou-dian
採 heng-shugou-ti-pingpie-dian-dian-pie-heng-shu-pie-na
㐱 pie-na-pie-pie-pie
斥 pingpie-shupie-heng-shu-dian
梧 heng-shu-pie-dian-heng-pie-hengzhe-heng-shu-hengzhe-heng
侩 pie-shu-pie-na-heng-heng-piezhe-dian
丨 shu
劫 heng-shu-heng-piezhe-dian-hengzhegou-shupie
洪 dian-dian-ti-heng-shu-shu-heng-pie-dian
倬 pie-shu-shu-heng-shu-hengzhe-heng-heng-heng-shu
咯 shu-hengzhe-heng-pie-hengpie-na-shu-hengzhe-heng
圮 heng-shu-ti-hengzhe-heng-shuwangou
溉 dian-dian-ti-hengzhe-heng-heng-shuti-dian-heng-shuzhe-shupie-shuwangou
庳 dian-heng-shupie-pie-shu-hengzhe-heng-heng-pie-heng-shu
夲 heng-pie-na-heng-shu
症 dian-heng-shupie-dian-ti-heng-shu-heng-shu-heng
尴 heng-shupie-shuwangou-shu-shu-pie-heng-dian-shu-hengzhe-shu-shu-heng
爰 pingpie-dian-dian-pie-heng-heng-pie-hengpie-na
檻 heng-shu-pie-dian-heng-shu-hengzhe-heng-shu-shuzhe-pie-heng-dian-shu-hengzhe-shu-shu-heng
犊 pie-heng-shu-ti-heng-shu-henggou-dian-dian-heng-shupie-dian
格 heng-shu-pie-dian-pie-hengpie-na-shu-hengzhe-heng
沿 dian-dian-ti-shupie-hengzhewan-shu-hengzhe-heng
伾 pie-shu-heng-pie-shu-dian-heng
叁 piezhe-dian-heng-pie-na-heng-heng-heng
剀 shu-shuzhe-shu-hengzhe-heng-shuti-shu-shuzhepie
熱 heng-shu-heng-pie-dian-heng-shu-ti-shupie-hengpiewangou-dian-zuodian-dian-dian-dian
嗅 shu-hengzhe-heng-pie-shu-hengzhe-heng-heng-heng-heng-pie-na-dian
瑄 heng-heng-shu-ti-dian-zuodian-henggou-heng-shu-hengzhegou-heng-heng-heng
壇 heng-shu-ti-dian-heng-shu-hengzhe-shu-hengzhe-heng-heng-shu-hengzhe-heng-heng-heng
忉 zuodian-dian-shu-hengzhegou-shupie
瘢 dian-heng-shupie-dian-ti-pie-shupie-hengzhegou-dian-heng-dian-pie-hengzhewan-hengpie-na
拋 heng-shugou-ti-heng-shupie-shuwangou-hengzhegou-shupie
嵊 shu-shuzhe-shu-pingpie-heng-shu-shu-heng-ti-pie-shuwangou-pie-na
瘜 dian-heng-shupie-dian-ti-pie-shu-hengzhe-heng-heng-heng-zuodian-wogou-dian-dian
李 heng-shu-pie-na-hengpie-shugou-heng
橐 heng-shu-hengzhe-heng-shu-zuodian-henggou-heng-pie-shu-hengzhe-heng-heng-shu-ti-na
仓 pie-na-hengzhegou-shuwangou
汔 dian-dian-ti-pie-heng-hengzhewangou
卖 heng-shu-henggou-dian-dian-heng-pie-dian
埙 heng-shu-ti-shu-hengzhe-heng-shu-hengzhe-shupie-dian
噘 shu-hengzhe-heng-heng-shupie-dian-pie-heng-shuzhe-shu-pie-pie-hengpie-pie-na
啚 shu-hengzhe-heng-heng-pie-shu-hengzhe-shu-hengzhe-heng-heng
姝 piedian-pie-heng-pie-heng-heng-shu-pie-na
瘤 dian-heng-shupie-dian-ti-pie-shuti-dian-hengzhegou-pie-shu-hengzhe-heng-shu-heng
彞 hengzhe-heng-heng-dian-pie-heng-shu-pie-dian-piezhe-piezhe-dian-shugou-pie-dian-heng-pie-shu
握 heng-shugou-ti-hengzhe-heng-shupie-heng-piezhe-dian-heng-shu-heng
慢 zuodian-dian-shu-shu-hengzhe-heng-heng-shu-hengzhe-shu-shu-heng-hengpie-na
日 shu-hengzhegou-heng-heng
棧 heng-shu-pie-dian-heng-xiegou-pie-dian-heng-xiegou-pie-dian
武 heng-heng-shu-heng-shu-ti-xiegou-dian
俩 pie-shu-heng-shu-hengzhegou-shupie-dian-shupie-dian
浪 dian-dian-ti-dian-hengzhe-heng-heng-shuti-pie-na
凭 pie-shu-pingpie-heng-shu-heng-pie-hengzhewangou
偬 pie-shu-pie-hengzhegou-pie-pie-dian-zuodian-wogou-dian-dian
瓯 heng-pie-dian-shuzhe-heng-shuti-hengzhewangou-dian
廳 dian-heng-shupie-heng-shu-shu-heng-heng-heng-heng-heng-shu-ti-heng-shu-shu-hengzhe-shu-shu-heng-heng-zuodian-wogou-dian-dian
巵 pingpie-shupie-heng-hengzhe-shu-heng-shuwangou
猿 pie-wangou-pie-heng-shu-heng-shu-hengzhe-heng-pie-shuti-pie-na
捶 heng-shugou-ti-pingpie-heng-shu-heng-shu-shu-heng-heng
瀏 dian-dian-ti-pie-shuti-dian-hengzhegou-pie-pie-dian-heng-heng-shu-dian-pie-ti-shu-shugou
櫻 heng-shu-pie-dian-shu-hengzhe-heng-heng-heng-pie-dian-shu-hengzhe-heng-heng-heng-pie-dian-piezhe-pie-heng
槽 heng-shu-pie-dian-heng-shu-hengzhe-heng-shu-shu-heng-shu-hengzhe-heng-heng
桼 heng-shu-pie-dian-pie-na-shugou-dian-ti-pie-dian
佾 pie-shu-pie-na-shu-hengzhegou-heng-heng
猁 pie-wangou-pie-pie-heng-shu-pie-dian-shu-shugou
犀 hengzhe-heng-shupie-shu-dian-ti-pie-dian-pie-heng-heng-shu
瘃 dian-heng-shupie-dian-ti-heng-pie-wangou-pie-pie-dian-pie-na
冂 shu-hengzhegou
唅 shu-hengzhe-heng-pie-na-dian-hengpie-shu-hengzhe-heng
咄 shu-hengzhe-heng-shuzhe-shu-shu-shuzhe-shu
堇 heng-shu-shu-heng-shu-hengzhe-heng-heng-heng-shu-heng
戋 heng-heng-xiegou-pie-dian
愍 hengzhe-heng-shuti-heng-xiegou-pie-heng-pie-na-zuodian-wogou-dian-dian
悌 zuodian-dian-shu-dian-pie-hengzhe-heng-shuzhezhegou-shu-pie
搏 heng-shugou-ti-heng-shu-hengzhe-heng-heng-shu-dian-heng-shugou-dian
檐 heng-shu-pie-dian-pie-hengpie-heng-shupie-pie-dian-dian-heng-heng-heng-shu-hengzhe-heng
专 heng-heng-shuzhepie-dian
滂 dian-dian-ti-dian-heng-dian-pie-zuodian-henggou-dian-heng-hengzhegou-pie
沔 dian-dian-ti-heng-shu-shuzhe-hengzhegou
玖 heng-heng-shu-ti-pie-hengpie-na
圙 shu-hengzhegou-pie-shuwangou-heng-pie-shu-hengzhegou-shu-shu-heng-heng-heng-heng
娛 piedian-pie-heng-shu-hengzhe-heng-shuzhezhe-heng-pie-na
喚 shu-hengzhe-heng-pie-hengpie-shu-hengzhe-pie-shuwan-heng-pie-na
墜 hengpiewangou-shu-dian-pie-heng-pie-wangou-pie-pie-pie-na-heng-shu-heng
從 pie-pie-shu-pie-dian-pie-dian-shu-heng-pie-pingna
挡 heng-shugou-ti-shu-dian-pie-hengzhe-heng-heng
抠 heng-shugou-ti-heng-pie-dian-shuzhe
攥 heng-shugou-ti-pie-heng-dian-pie-heng-dian-shu-hengzhe-heng-heng-heng-heng-pie-na-piezhe-piezhe-dian-shugou-pie-dian
撤 heng-shugou-pie-dian-heng-piezhe-dian-shu-hengzhegou-heng-heng-pie-heng-pie-na
漩 dian-dian-ti-dian-heng-hengzhegou-pie-pie-heng-henggou-shu-heng-pie-na
亨 dian-heng-shu-hengzhe-heng-hengpie-shugou
别 shu-hengzhe-heng-hengzhegou-pie-shu-shugou
涪 dian-dian-ti-dian-heng-dian-pie-heng-shu-hengzhe-heng
催 pie-shu-shu-shuzhe-shu-pie-shu-dian-heng-heng-heng-shu-heng
启 dian-hengzhe-heng-shupie-shu-hengzhe-heng
垮 heng-shu-ti-heng-pie-na-heng-heng-shuzhezhegou
帳 shu-hengzhegou-shu-heng-shu-heng-heng-heng-shuti-pie-na
妲 piedian-pie-heng-shu-hengzhe-heng-heng-heng
燈 zuodian-pie-shupie-dian-hengpie-dian-pie-pie-na-heng-shu-hengzhe-heng-dian-pie-heng
椽 heng-shu-pie-dian-piezhe-hengpie-heng-pie-shugou-pie-pie-pie-na
梼 heng-shu-pie-dian-heng-heng-heng-shupie-heng-shugou-dian
氿 dian-dian-ti-shupie-hengzhewangou
晴 shu-hengzhe-heng-heng-heng-heng-shu-heng-shu-hengzhegou-heng-heng
十 heng-shu
狀 shuzhe-shu-heng-pie-heng-shupie-na-dian
癃 dian-heng-shupie-dian-ti-hengpiewangou-shu-pie-hengpie-na-heng-zuodian-heng-heng-shu-heng
畅 shu-hengzhe-heng-heng-shu-hengzhezhezhe勾-pie-pie
哄 shu-hengzhe-heng-heng-shu-shu-heng-pie-dian
密 dian-zuodian-henggou-zuodian-henggou-dian-pie-dian-shu-shuzhe-shu
廈 dian-heng-shupie-heng-pie-shu-hengzhe-heng-heng-heng-pie-hengpie-na
手 pingpie-heng-heng-shugou
癥 dian-heng-shupie-dian-ti-pie-pie-shu-shu-shuzhe-shu-heng-heng-heng-shu-ti-pie-heng-pie-na
乓 pingpie-shu-heng-shu-heng-dian
泔 dian-dian-ti-heng-shu-shugou-heng-heng
取 heng-shu-shu-heng-heng-ti-hengpie-na
溴 dian-dian-ti-pie-shu-hengzhe-heng-heng-heng-heng-pie-na-dian
盘 pie-shupie-hengzhegou-dian-heng-dian-shu-hengzhe-shu-shu-heng
嗚 shu-hengzhe-heng-pie-shu-hengzhe-heng-heng-hengzhegou-zuodian-dian-dian-dian
癬 dian-heng-shupie-dian-ti-pie-hengpie-shu-hengzhe-heng-shu-heng-zuodian-dian-dian-dian-dian-pie-heng-heng-heng-shu
忞 dian-heng-pie-na-zuodian-wogou-dian-dian
捡 heng-shugou-ti-pie-na-heng-dian-dian-pie-heng
擤 heng-shugou-ti-pie-shu-hengzhe-heng-heng-heng-shu-hengzhe-heng-shu-heng-heng-pie-shu
桧 heng-shu-pie-dian-pie-na-heng-heng-piezhe-dian
佩 pie-shu-shupie-hengzhexiegou-heng-shu-hengzhegou-shu
仨 pie-shu-heng-heng-heng
淪 dian-dian-ti-pie-na-heng-shu-shu-heng-shu-shu
六 dian-heng-pie-dian
僬 pie-shu-pie-shu-dian-heng-heng-heng-shu-heng-zuodian-dian-dian-dian
瑯 heng-heng-shu-ti-dian-hengzhe-heng-heng-shuti-dian-hengpiewangou-shu
孱 hengzhe-heng-shupie-hengpie-shugou-heng-hengpie-shugou-ti-hengpie-shugou-heng
平 heng-dian-pie-heng-shu
峴 shu-shuzhe-shu-shu-hengzhe-heng-heng-heng-pie-shuwangou
揶 heng-shugou-ti-heng-shu-shu-heng-heng-ti-hengpiewangou-shu
書 hengzhe-heng-heng-heng-shu-heng-shu-hengzhe-heng-heng
旺 shu-hengzhegou-heng-heng-heng-heng-shu-heng
棼 heng-shu-pie-dian-heng-shu-pie-dian-pie-na-hengzhegou-pie
俾 pie-shu-pie-shu-hengzhe-heng-heng-shupie-heng-shu
